
23-Apr-2014 07:22:20
1_BrightDry4.jpg,1.127932e+02,9.275028e+00,1.901025e+02,1.801220e+02,9.448062e-01,-1.025098e-03,5.718967e-03,1.914997e+01,

23-Apr-2014 07:41:51
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
1_DarkDry.jpg,1.698110e+02,5.275552e+01,2.395922e+02,2.336098e+02,9.679801e-01,6.997110e-03,-3.133034e-04,2.911642e+00,

23-Apr-2014 07:42:01
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
1_DarkDry2.jpg,1.701790e+02,5.329774e+01,2.405935e+02,2.340732e+02,9.651871e-01,6.094444e-03,-1.562678e-04,3.872078e+00,

23-Apr-2014 07:42:11
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
1_DarkDry3.jpg,1.576652e+02,3.730505e+01,2.287680e+02,224,9.750970e-01,0,0,0,

23-Apr-2014 07:42:24
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
1_DarkDry4.jpg,1.571679e+02,3.716443e+01,2.289999e+02,2.238049e+02,9.729195e-01,0,0,0,

23-Apr-2014 07:42:40
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
1_DarkDry5.jpg,1.398422e+02,3.094053e+01,2.227921e+02,2.096098e+02,9.312886e-01,1.017046e-03,8.136369e-03,1.616270e+01,

23-Apr-2014 07:42:58
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
1_DarkDry6.jpg,1.407923e+02,3.226746e+01,2.219357e+02,2.108293e+02,9.414426e-01,-8.230030e-04,7.252714e-03,1.814241e+01,

23-Apr-2014 07:43:19
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
2_BrightDry.jpg,1.642583e+02,4.346056e+01,2.352228e+02,2.233902e+02,9.382957e-01,5.341981e-04,5.341981e-04,5.796266e+00,

23-Apr-2014 07:43:39
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
2_BrightDry2.jpg,1.533213e+02,3.924500e+01,2.351253e+02,2.357073e+02,1.002971e+00,0,0,0,

23-Apr-2014 07:43:58
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
2_BrightDry3.jpg,1.642172e+02,3.823795e+01,2.352037e+02,2.259268e+02,9.529010e-01,-3.219576e-03,4.160683e-03,8.668982e+00,

23-Apr-2014 07:44:11
Name of file,Blue Color Standard,Black Color Standard,White Color Standard,Raw data,Normalized data,Slope Down,Slope Up,Sum under curve,
